10_000_000.
number of methods: 3
number of query sets: 3
number of queries in each true or false: 1000
DGraph fileName=./experiments/graphs/synthetic/ER/ERV1kD2L8uni.edge
DGraph |V|=1000,|E|=2000,|L|=8
DGraph size(byte)=32000, time(s)=0.000501871
dataset: ./experiments/graphs/synthetic/ER/ERV1kD2L8uni.edge with |L|=8 and |V|=1000
method i=0
runTestsPerIndex index=BFSBFS has index size (byte): 32000
BFS required index construction time (s): 0.000501971
Method: BFS queryset: 0
Query 0: (6,8,00000000000000000000000000100010, true), avg=0.00000066911
Query 1: (6,256,00000000000000000000000000000101, true), avg=0.00000066911
Query 2: (6,256,00000000000000000000000000000110, true), avg=0.00000010000
Query 3: (6,256,00000000000000000000000000001100, true), avg=0.00000038455
Query 4: (6,256,00000000000000000000000000100100, true), avg=0.00000038455
Query 5: (6,256,00000000000000000000000010000100, true), avg=0.00000038455
Query 6: (6,256,00000000000000000000000100000100, true), avg=0.00000066911
Query 7: (6,266,00000000000000000000000001001000, true), avg=0.00000066911
Query 8: (6,323,00000000000000000000000001001000, true), avg=0.00000038455
Query 9: (6,374,00000000000000000000000000100010, true), avg=0.00000095367
Query 10: (6,414,00000000000000000000000000010100, true), avg=0.00000038455
Query 11: (6,515,00000000000000000000000001000010, true), avg=0.00000038455
Query 12: (6,515,00000000000000000000000001000100, true), avg=0.00000066911
Query 13: (6,515,00000000000000000000000001001000, true), avg=0.00000038455
Query 14: (6,515,00000000000000000000000101000000, true), avg=0.00000066911
Query 15: (6,545,00000000000000000000000001001000, true), avg=0.00000066911
Query 16: (6,625,00000000000000000000000000010100, true), avg=0.00000095367
Query 17: (11,6,00000000000000000000000000000011, true), avg=0.00000095367
Query 18: (11,6,00000000000000000000000000001001, true), avg=0.00000095367
Query 19: (11,6,00000000000000000000000000100001, true), avg=0.00000066911
Query 20: (11,6,00000000000000000000000001000001, true), avg=0.00000066911
Query 21: (11,6,00000000000000000000000010000001, true), avg=0.00000038455
Query 22: (11,6,00000000000000000000000100000001, true), avg=0.00000066911
Query 23: (11,108,00000000000000000000000000001001, true), avg=0.00000066911
Query 24: (11,108,00000000000000000000000000001010, true), avg=0.00000066911
Query 25: (11,108,00000000000000000000000000101000, true), avg=0.00000038455
Query 26: (11,108,00000000000000000000000001001000, true), avg=0.00000038455
Query 27: (11,108,00000000000000000000000100001000, true), avg=0.00000066911
Query 28: (11,128,00000000000000000000000000000011, true), avg=0.00000038455
Query 29: (11,128,00000000000000000000000000000110, true), avg=0.00000010000
Query 30: (11,128,00000000000000000000000000010010, true), avg=0.00000038455
Query 31: (11,128,00000000000000000000000000100010, true), avg=0.00000038455
Query 32: (11,128,00000000000000000000000001000010, true), avg=0.00000066911
Query 33: (11,128,00000000000000000000000100000010, true), avg=0.00000010000
Query 34: (11,252,00000000000000000000000000001010, true), avg=0.00000066911
Query 35: (11,252,00000000000000000000000000011000, true), avg=0.00000038455
Query 36: (11,252,00000000000000000000000000101000, true), avg=0.00000010000
Query 37: (11,252,00000000000000000000000001001000, true), avg=0.00000038455
Query 38: (11,252,00000000000000000000000100001000, true), avg=0.00000066911
Query 39: (11,388,00000000000000000000000000001001, true), avg=0.00000095367
Query 40: (11,507,00000000000000000000000000001100, true), avg=0.00000095367
Query 41: (11,515,00000000000000000000000001000001, true), avg=0.00000095367
Query 42: (11,659,00000000000000000000000001000001, true), avg=0.00000010000
Query 43: (11,684,00000000000000000000000000001001, true), avg=0.00000038455
