10_000_000.
number of methods: 3
number of query sets: 3
number of queries in each true or false: 1000
DGraph fileName=./experiments/graphs/real/advogato/advogato.edge
dataset: ./experiments/graphs/real/advogato/advogato.edge with |L|=4 and |V|=5417
method i=0
runTestsPerIndex index=BFSBFS has index size (byte): 820992
BFS required index construction time (s): 0.00977002
Method: BFS queryset: 0
*Query 75: (237,3,00000000000000000000000000000010, true), avg=0.00025232632
*Query 76: (237,3,00000000000000000000000000000100, true), avg=0.00004363059
*Query 77: (237,3,00000000000000000000000000001000, true), avg=0.00014599164
*Query 78: (237,4,00000000000000000000000000000010, true), avg=0.00027004877
*Query 79: (237,4,00000000000000000000000000001000, true), avg=0.00014726320
*Query 80: (237,5,00000000000000000000000000000100, true), avg=0.00025367736
*Query 81: (237,5,00000000000000000000000000001000, true), avg=0.00012469291
*Query 82: (237,6,00000000000000000000000000000010, true), avg=0.00010371208
*Query 83: (237,6,00000000000000000000000000000100, true), avg=0.00011833508
*Query 84: (237,7,00000000000000000000000000000001, true), avg=0.00017261505
*Query 85: (237,7,00000000000000000000000000000010, true), avg=0.00032869974
*Query 86: (237,8,00000000000000000000000000000001, true), avg=0.00017229715
*Query 87: (237,8,00000000000000000000000000000010, true), avg=0.00008201599
*Query 88: (237,8,00000000000000000000000000000100, true), avg=0.00008964538
*Query 89: (237,8,00000000000000000000000000001000, true), avg=0.00008328755
*Query 90: (237,10,00000000000000000000000000000100, true), avg=0.00027998288
*Query 91: (237,11,00000000000000000000000000000010, true), avg=0.00042335192
*Query 92: (237,12,00000000000000000000000000000010, true), avg=0.00024199485
*Query 93: (237,12,00000000000000000000000000001000, true), avg=0.00006802876
*Query 94: (237,13,00000000000000000000000000000001, true), avg=0.00020869572
*Query 95: (237,13,00000000000000000000000000000010, true), avg=0.00026369094
*Query 96: (237,13,00000000000000000000000000000100, true), avg=0.00021696090
*Query 97: (237,14,00000000000000000000000000000010, true), avg=0.00035969416
*Query 98: (237,15,00000000000000000000000000000010, true), avg=0.00008201599
*Query 99: (237,15,00000000000000000000000000000100, true), avg=0.00022530555
*Query 100: (237,15,00000000000000000000000000001000, true), avg=0.00005873044
*Query 101: (237,16,00000000000000000000000000000010, true), avg=0.00038131078
*Query 102: (237,18,00000000000000000000000000000100, true), avg=0.00007128715
*Query 103: (237,19,00000000000000000000000000000010, true), avg=0.00010569890
*Query 104: (237,19,00000000000000000000000000000100, true), avg=0.00006731351
*Query 105: (237,21,00000000000000000000000000000100, true), avg=0.00017865498
