10_000_000.
number of methods: 3
number of query sets: 3
number of queries in each true or false: 100
DGraph fileName=./experiments/graphs/synthetic/PA/uni/V1kD2L8uni.edge
DGraph |V|=1000,|E|=1997,|L|=8
DGraph size(byte)=31952, time(s)=0.000506163
dataset: ./experiments/graphs/synthetic/PA/uni/V1kD2L8uni.edge with |L|=8 and |V|=1000
method i=0
runTestsPerIndex index=BFSBFS has index size (byte): 31952
BFS required index construction time (s): 0.000506263
Method: BFS queryset: 0
Query 52: (523,755,00000000000000000000000010001000, true), avg=0.00000762939
Query 53: (561,8,00000000000000000000000010001000, true), avg=0.00000564257
Query 54: (561,35,00000000000000000000000010001000, true), avg=0.00000659624
Query 55: (561,120,00000000000000000000000010001000, true), avg=0.00000492731
Query 56: (561,206,00000000000000000000000000101000, true), avg=0.00000532468
Query 57: (561,272,00000000000000000000000010000001, true), avg=0.00000564257
Query 58: (587,22,00000000000000000000000000100100, true), avg=0.00000596046
Query 59: (587,84,00000000000000000000000000100100, true), avg=0.00000500679
Query 60: (587,113,00000000000000000000000010000100, true), avg=0.00000500679
Query 61: (587,122,00000000000000000000000010000100, true), avg=0.00000500679
Query 62: (587,142,00000000000000000000000000100100, true), avg=0.00000397364
Query 63: (750,35,00000000000000000000000010001000, true), avg=0.00000874201
Query 64: (750,71,00000000000000000000000010000001, true), avg=0.00000794728
Query 65: (750,110,00000000000000000000000010001000, true), avg=0.00000754992
Query 66: (750,117,00000000000000000000000010000001, true), avg=0.00000794728
Query 67: (750,133,00000000000000000000000010010000, true), avg=0.00000500679
Query 68: (750,148,00000000000000000000000010000001, true), avg=0.00000810623
Query 69: (752,10,00000000000000000000000001000100, true), avg=0.00000397364
Query 70: (752,19,00000000000000000000000001001000, true), avg=0.00000262260
Query 71: (752,27,00000000000000000000000001001000, true), avg=0.00000437100
Query 72: (752,44,00000000000000000000000001001000, true), avg=0.00000238418
Query 73: (752,68,00000000000000000000000001001000, true), avg=0.00000397364
Query 74: (807,5,00000000000000000000000010100000, true), avg=0.00000699361
Query 75: (807,74,00000000000000000000000010100000, true), avg=0.00000596046
Query 76: (807,106,00000000000000000000000010100000, true), avg=0.00000564257
Query 77: (807,113,00000000000000000000000010100000, true), avg=0.00000262260
Query 78: (846,11,00000000000000000000000001000100, true), avg=0.00000532468
Query 79: (846,12,00000000000000000000000001000100, true), avg=0.00000301996
Query 80: (908,5,00000000000000000000000000000011, true), avg=0.00000762939
Query 81: (908,79,00000000000000000000000000000011, true), avg=0.00000699361
Query 82: (908,130,00000000000000000000000000000011, true), avg=0.00000500679
Query 83: (908,163,00000000000000000000000000000011, true), avg=0.00000500679
Query 84: (908,312,00000000000000000000000000000011, true), avg=0.00000596046
Query 85: (909,1,00000000000000000000000000001010, true), avg=0.00000564257
Query 86: (909,7,00000000000000000000000000001010, true), avg=0.00000468889
Query 87: (909,8,00000000000000000000000000000011, true), avg=0.00000770886
Query 88: (909,65,00000000000000000000000000100001, true), avg=0.00000373522
Query 89: (946,1,00000000000000000000000010100000, true), avg=0.00000460942
Query 90: (946,40,00000000000000000000000010100000, true), avg=0.00000365575
Query 91: (946,46,00000000000000000000000010100000, true), avg=0.00000397364
Query 92: (946,142,00000000000000000000000010100000, true), avg=0.00000596046
Query 93: (946,181,00000000000000000000000010100000, true), avg=0.00000770886
Query 94: (964,7,00000000000000000000000000000011, true), avg=0.00000699361
Query 95: (964,48,00000000000000000000000000000011, true), avg=0.00000596046
Query 96: (964,92,00000000000000000000000000000011, true), avg=0.00000500679
Query 97: (964,93,00000000000000000000000000000011, true), avg=0.00000564257
Query 98: (964,153,00000000000000000000000000000011, true), avg=0.00000723203
Query 99: (980,11,00000000000000000000000000100001, true), avg=0.00000524520
Query 0: (4,10,00000000000000000000000010001000, false), avg=0.00000969568
Query 1: (4,29,00000000000000000000000010001000, false), avg=0.00000937779
Query 2: (4,32,00000000000000000000000010001000, false), avg=0.00000882148
Query 3: (4,33,00000000000000000000000010001000, false), avg=0.00000866254
Query 4: (4,48,00000000000000000000000010001000, false), avg=0.00000929832
Query 5: (13,4,00000000000000000000000010100000, false), avg=0.00000834465
Query 6: (13,5,00000000000000000000000000100001, false), avg=0.00000564257
Query 7: (13,7,00000000000000000000000000001100, false), avg=0.00000699361
Query 8: (13,8,00000000000000000000000010000100, false), avg=0.00000699361
Query 9: (101,1,00000000000000000000000000000110, false), avg=0.00000500679
Query 10: (101,9,00000000000000000000000000000110, false), avg=0.00000405311
Query 11: (101,11,00000000000000000000000000000110, false), avg=0.00000468889
Query 12: (101,14,00000000000000000000000000000011, false), avg=0.00000866254
Query 13: (101,14,00000000000000000000000000001010, false), avg=0.00000603993
