10_000_000.
number of methods: 3
number of query sets: 3
number of queries in each true or false: 1000
DGraph fileName=./experiments/graphs/synthetic/PA/exp/V5kD2L8exp.edge
DGraph |V|=5000,|E|=9997,|L|=8
DGraph size(byte)=159952, time(s)=0.00139523
dataset: ./experiments/graphs/synthetic/PA/exp/V5kD2L8exp.edge with |L|=8 and |V|=5000
method i=0
runTestsPerIndex index=BFSBFS has index size (byte): 159952
BFS required index construction time (s): 0.00139533
Method: BFS queryset: 0
Query 0: (17,4,00000000000000000000000010000100, true), avg=0.00012469291
Query 1: (17,4,00000000000000000000000010100000, true), avg=0.00012063980
Query 2: (17,6,00000000000000000000000110000000, true), avg=0.00002805391
Query 3: (17,7,00000000000000000000000010000010, true), avg=0.00003631909
Query 4: (17,7,00000000000000000000000011000000, true), avg=0.00003425280
Query 5: (17,8,00000000000000000000000010000100, true), avg=0.00006039937
Query 6: (17,8,00000000000000000000000010010000, true), avg=0.00005364418
Query 7: (17,8,00000000000000000000000110000000, true), avg=0.00004569689
Query 8: (17,10,00000000000000000000000010001000, true), avg=0.00007637341
Query 9: (25,7,00000000000000000000000010000100, true), avg=0.00004100799
Query 10: (25,7,00000000000000000000000010001000, true), avg=0.00003663698
Query 11: (25,8,00000000000000000000000010100000, true), avg=0.00004728635
Query 12: (25,10,00000000000000000000000010010000, true), avg=0.00007971127
Query 13: (25,11,00000000000000000000000010000001, true), avg=0.00006628036
Query 14: (25,11,00000000000000000000000010000010, true), avg=0.00007136662
Query 15: (25,11,00000000000000000000000010100000, true), avg=0.00005165735
Query 16: (25,11,00000000000000000000000011000000, true), avg=0.00007232030
Query 17: (48,4,00000000000000000000000010000001, true), avg=0.00014567375
Query 18: (48,4,00000000000000000000000010000010, true), avg=0.00013462702
Query 19: (48,4,00000000000000000000000010100000, true), avg=0.00013995170
Query 20: (48,6,00000000000000000000000011000000, true), avg=0.00002733866
Query 21: (48,7,00000000000000000000000010000010, true), avg=0.00003035863
Query 22: (48,8,00000000000000000000000010100000, true), avg=0.00005769729
Query 23: (48,10,00000000000000000000000110000000, true), avg=0.00009131431
